Date;High;Low
01.01.2020;9553.125977;6914.996094
01.02.2020;10457.626953;8492.932617
01.03.2020;9167.695313;4106.980957
01.04.2020;9440.650391;6202.373535
01.05.2020;9996.743164;8374.323242
01.06.2020;10199.565430;8975.525391
01.07.2020;11415.864258;8977.015625
01.08.2020;12359.056641;11012.415039
01.09.2020;12067.081055;9916.493164
01.10.2020;14028.213867;10416.689453
01.11.2020;19749.263672;13243.160156
01.12.2020;29244.876953;17619.533203
01.01.2021;41946.738281;28722.755859
01.02.2021;58330.570313;32384.228516
01.03.2021;61683.863281;45115.093750
01.04.2021;64863.097656;47159.484375
01.05.2021;59519.355469;30681.496094
01.06.2021;41295.269531;28893.621094
01.07.2021;42235.546875;29360.955078
01.08.2021;50482.078125;37458.003906
01.09.2021;52853.765625;39787.609375
01.10.2021;66930.390625;43320.023438
01.11.2021;68789.625000;53569.765625
01.12.2021;59041.683594;42874.617188
01.01.2022;47881.406250;33184.058594
01.02.2022;45661.171875;34459.218750
01.03.2022;48086.835938;37260.203125
01.04.2022;47313.476563;37697.941406
01.05.2022;39902.949219;26350.490234
01.06.2022;31957.285156;17708.623047
01.07.2022;24572.580078;18966.951172
01.08.2022;25135.589844;19600.785156
01.09.2022;22673.820313;18290.314453
01.10.2022;20988.394531;18319.822266
01.11.2022;21446.886719;15599.046875
01.12.2022;18318.531250;16398.136719
01.01.2023;23919.890625;16521.234375
01.02.2023;25134.117188;21460.087891
01.03.2023;29159.902344;19628.253906
01.04.2023;31005.607422;27070.849609
01.05.2023;29820.126953;25878.429688
01.06.2023;31389.539063;24797.167969
01.07.2023;31814.515625;28934.294922
01.08.2023;30176.796875;25409.111328
01.09.2023;27488.763672;24930.296875
01.10.2023;35150.433594;26558.320313
01.11.2023;37926.257813;34133.441406
10.11.2023;37119.031250;36382.425781
